,athlete_id,athlete,country_noc,total_medaille
92532,93860,Michael Phelps,USA,28
28978,29198,Larisa Latynina,URS,18
30992,31235,Nikolay Andrianov,URS,15
99573,101008,Marit Bjørgen,NOR,15
82926,84154,Ole Einar Bjørndalen,NOR,13
22503,22677,Edoardo Mangiarotti,ITA,13
30371,30611,Takashi Ono,JPN,13
31024,31267,Boris Shakhlin,URS,13
107989,109767,Ireen Wüst,NED,13
11442,11503,Isabell Werth,GER,12
9824,9879,Birgit Fischer,GDR,12
50850,51218,Dara Torres,USA,12
50849,51217,Jenny Thompson,USA,12
30735,30978,Aleksey Nemov,RUS,12
67208,67728,Paavo Nurmi,FIN,12
101740,103301,Natalie Coughlin,USA,12
30353,30593,Sawao Kato,JPN,12
84129,85378,Bjørn Dæhlie,NOR,12
102014,103585,Ryan Lochte,USA,12
44380,44730,Carl Osburn,USA,11
28895,29115,Věra Čáslavská,TCH,11
126112,129061,Emma McKeon,AUS,11
51204,51572,Mark Spitz,USA,11
103660,105293,Allyson Felix,USA,11
108148,109931,Arianna Fontana,ITA,11
50898,51266,Matt Biondi,USA,11
31027,31270,Viktor Chukarin,URS,11
28412,28630,Ágnes Keleti,HUN,10
113798,115730,Allison Schmitt,USA,10
79411,80627,Stefania Belmondo,ITA,10
332,333,Hubert Van Innis,BEL,10
30368,30608,Akinori Nakayama,JPN,10
47395,47755,Franziska van Almsick,GER,10
22279,22451,Aladár Gerevich,HUN,10
123785,126653,Katie Ledecky,USA,10
51010,51378,"Gary Hall, Jr.",USA,10
78094,78692,Carl Lewis,USA,10
81182,82399,Raisa Smetanina,EUN,10
31001,31244,Aleksandr Dityatin,URS,10
28955,29175,Polina Astakhova,URS,10
29241,29462,Vitali Shcherba,BLR,10
20654,20803,Valentina Vezzali,ITA,9
43939,44287,Alf Swahn,SWE,9
28775,28995,Nadia Comăneci,ROU,9
80836,82053,Claudia Pechstein,GER,9
107905,109681,Sven Kramer,NED,9
91957,93280,Ian Thorpe,AUS,9
29604,29833,Heikki Savolainen,FIN,9
30355,30595,Eizo Kenmotsu,JPN,9
91946,93269,Leisel Jones,AUS,9
31029,31272,Yury Titov,URS,9
31032,31275,Mikhail Voronin,URS,9
50587,50955,Shirley Babashoff,USA,9
22494,22668,Giulio Gaudini,ITA,9
49691,50058,Aleksandr Popov,RUS,9
111289,113166,Jason Kenny,GBR,9
134134,137797,Aleksandr Bolshunov,ROC,9
79737,80953,Uschi Disl,GER,9
116667,118748,Charlotte Kalla,SWE,9
86266,87535,Sixten Jernberg,SWE,9
11430,11490,Anky van Grunsven,NED,9
28996,29216,Lyudmila Turishcheva,URS,9
30380,30620,Mitsuo Tsukahara,JPN,9
81869,83087,Lyubov Yegorova,RUS,9
71680,72229,Merlene Ottey,JAM,9
110460,112321,Cate Campbell,AUS,8
48949,49315,Inge de Bruijn,NED,8
43192,43533,Otto Olsen,NOR,8
89096,90392,Bradley Wiggins,GBR,8
30788,31031,Eugen Mack,SUI,8
44693,45044,Dawn Fraser,AUS,8
10706,10762,Gert Fredriksson,SWE,8
20651,20800,Giovanna Trillini,ITA,8
80371,81587,Galina Kulakova,URS,8
88907,90202,Katalin Kovács,HUN,8
12178,12244,Reiner Klimke,GER,8
49694,50061,Dmitry Sautin,RUS,8
67263,67783,Ville Ritola,FIN,8
92529,93857,Jason Lezak,USA,8
109195,111029,Emil Hegle Svendsen,NOR,8
84994,86249,Ricco Groß,GER,8
28984,29204,Sofya Muratova,URS,8
21689,21846,Roger Ducret,FRA,8
97954,99335,Kjetil André Aamodt,NOR,8
47106,47465,Kornelia Ender,GDR,8
51184,51552,Don Schollander,USA,8
79812,81028,Karin Enke,GDR,8
117544,119701,Miho Takagi,JPN,8
44754,45105,Susie O'Neill,AUS,8
77787,78385,Ray Ewry,USA,8
112820,114740,Shelly-Ann Fraser,JAM,8
39207,39517,Elisabeta Oleniuc,ROU,8
125267,128188,Johannes Thingnes Bø,NOR,8
47236,47595,Roland Matthes,GDR,8
84481,85733,Sven Fischer,GER,8
100109,101555,Apolo Anton Ohno,USA,8
125263,128184,Tiril Eckhoff,NOR,8
100111,101557,Viktor An,RUS,8
114703,116671,Danuta Kozák,HUN,8
21616,21772,Philippe Cattiau,FRA,8
85852,87116,Veronica Campbell,JAM,8
30790,31033,Georges Miez,SUI,8
103874,105512,Usain Bolt,JAM,8
28415,28633,Margit Korondi,HUN,8
44948,45299,Petria Thomas,AUS,8
80298,81514,Gunda Kleemann,GDR,8
113687,115617,Nathan Adrian,USA,8
92714,94046,Kirsty Coventry,ZIM,7
64089,64579,Shirley Strickland,AUS,7
47306,47665,Dagmar Hase,GER,7
91940,93263,Grant Hackett,AUS,7
22510,22684,Gustavo Marzi,ITA,7
69439,69965,Heike Drechsler,GDR,7
43815,44162,Vilhelm Carlberg,SWE,7
80417,81634,Larisa Lazutina,RUS,7
51049,51417,Tom Jager,USA,7
12939,13010,Hans Günter Winkler,GER,7
82597,83820,Ivar Ballangrud,NOR,7
106185,107913,Wu Minxia,CHN,7
10674,10730,Agneta Andersson,SWE,7
47733,48094,Krisztina Egerszegi,HUN,7
96891,98260,Clas Thunberg,FIN,7
30377,30617,Masao Takemoto,JPN,7
94345,95693,Eero Mäntyranta,FIN,7
110070,111925,Kohei Uchimura,JPN,7
79729,80945,Manuela Di Centa,ITA,7
30337,30577,Yukio Endo,JPN,7
85134,86390,Veikko Hakulinen,FIN,7
116500,118554,Martin Fourcade,FRA,7
80123,81339,Marja-Liisa Hämäläinen,FIN,7
101717,103278,Libby Lenton,AUS,7
20604,20753,Ildikó Rejtő,HUN,7
134056,137711,Marte Olsbu,NOR,7
47826,48187,Zoltán Halmay,HUN,7
74041,74618,Irena Kirszenstein,POL,7
28769,28989,Simona Amânar,ROU,7
30802,31045,Sepp Stalder,SUI,7
126515,129511,Penny Oleksiak,CAN,7
84905,86160,Felix Gottwald,AUT,7
49134,49500,Pieter van den Hoogenband,NED,7
113723,115654,Emily Seebohm,AUS,7
92531,93859,Aaron Peirsol,USA,7
92249,93574,Kosuke Kitajima,JPN,7
50940,51308,Charlie Daniels,USA,7
128917,132107,Simone Biles,USA,7
28963,29183,Mariya Gorokhovskaya,URS,7
34840,35117,Pavel Lednyov,URS,7
28830,29050,Svetlana Khorkina,RUS,7
44358,44708,Willis Lee,USA,7
80630,81847,Andrea Mitscherlich,GDR,7
118118,120455,Aliya Mustafina,RUS,7
10549,10605,Ivan Patzaichin,ROU,7
50594,50962,Amanda Beard,USA,7
117324,119468,Eric Frenzel,GER,7
22311,22483,Pál Kovács,HUN,7
98652,100035,Kati Wilhelm,GER,7
132843,136353,Caeleb Dressel,USA,7
114191,116137,Svetlana Romashina,ROC,7
101902,103470,Dana Vollmer,USA,7
114195,116141,Huang Xuechen,CHN,7
81754,82972,Yelena Välbe,RUS,7
28284,28502,Karin Janz,GDR,7
94310,95658,Bogdan Musiol,GDR,7
89092,90388,Chris Hoy,GBR,7
117302,119444,Natalie Geisenberger,GER,7
107990,109768,Martina Sáblíková,CZE,7
77392,77990,Gwen Torrence,USA,7
96285,97646,Vladimir Smirnov,KAZ,7
44417,44767,Lloyd Spooner,USA,7
118112,120449,Denis Ablyazin,ROC,7
43177,43518,Einar Liberg,NOR,7
29046,29266,Shannon Miller,USA,7
134065,137724,Johannes Høsflot Klæbo,NOR,7
50855,51223,Amy Van Dyken,USA,6
95520,96877,Rintje Ritsma,NED,6
21607,21763,Géo Buchard,FRA,6
